t,E_host,E_mean,E_min,E_max,dead_agent_count
0.0,0.0,1.553888888888889,0.9991666666666666,2.6641666666666666,0
60.0,0.0,2.0529603681853215,0.9983333333333333,4.0,0
120.0,0.0,2.3291074617187393,0.9974999999999999,4.0,0
180.0,0.0,2.4983333333333335,0.9966666666666666,4.0,0
240.0,0.0,2.4979166666666663,0.9958333333333332,4.0,0
300.0,0.0,2.4975,0.9949999999999999,4.0,0
360.0,0.0,2.4970833333333333,0.9941666666666665,4.0,0
420.0,0.0,2.4966666666666666,0.9933333333333332,4.0,0
480.0,0.0,2.49625,0.9924999999999998,4.0,0
540.0,0.0,2.495833333333333,0.9916666666666665,4.0,0
600.0,0.0,2.495416666666667,0.9908333333333331,4.0,0
660.0,0.0,2.4949999999999997,0.9899999999999998,4.0,0
720.0,0.0,2.4945833333333334,0.9891666666666664,4.0,0
780.0,0.0,2.4941666666666666,0.9883333333333331,4.0,0
840.0,0.0,2.49375,0.9874999999999997,4.0,0
900.0,0.0,2.493333333333333,0.9866666666666664,4.0,0
960.0,0.0,2.4929166666666664,0.985833333333333,4.0,0
1020.0,0.0,2.4924999999999997,0.9849999999999997,4.0,0
1080.0,0.0,2.492083333333333,0.9841666666666663,4.0,0
1140.0,0.0,2.4916666666666667,0.983333333333333,4.0,0
1200.0,0.0,2.490833437666194,0.9824999999999996,4.0,0
1260.0,0.0,2.4972713693508606,0.9816666666666662,4.0,0
1320.0,0.0,2.510975687031702,0.9808333333333329,4.0,0
1380.0,0.0,2.531936427343178,0.9799999999999995,4.0,0
1440.0,0.0,2.5601386537372792,0.9791666666666662,4.0,0
1500.0,0.0,2.5955624667202746,0.9783333333333328,4.0,0
1560.0,0.0,2.638183017490811,0.9774999999999995,4.0,0
1620.0,0.0,2.687970524970019,0.9766666666666661,4.0,0
1680.0,0.0,2.7448902962119424,0.9758333333333328,4.0,0
1740.0,0.0,2.808902750180321,0.9749999999999994,4.0,0
1800.0,0.0,2.8799634448754143,0.9741666666666661,4.0,0
1860.0,0.0,2.958023107792283,0.9733333333333327,4.0,0
1920.0,0.0,2.98875010433286,0.9724999999999994,4.0,0
1980.0,0.0,2.988333437666194,0.971666666666666,4.0,0
2040.0,0.0,2.987916770999527,0.9708333333333327,4.0,0
2100.0,0.0,2.98750010433286,0.9699999999999993,4.0,0
2160.0,0.0,2.9870834376661937,0.969166666666666,4.0,0
2220.0,0.0,2.986666770999527,0.9683333333333326,4.0,0
2280.0,0.0,2.98625010433286,0.9674999999999992,4.0,0
2340.0,0.0,2.985833437666193,0.9666666666666659,4.0,0
2400.0,0.0,2.9854167709995267,0.9658333333333325,4.0,0
2460.0,0.0,2.98500010433286,0.9649999999999992,4.0,0
2520.0,0.0,2.9845834376661933,0.9641666666666658,4.0,0
2580.0,0.0,2.984166770999527,0.9633333333333325,4.0,0
2640.0,0.0,2.98375010433286,0.9624999999999991,4.0,0
2700.0,0.0,2.983333437666193,0.9616666666666658,4.0,0
2760.0,0.0,2.982916770999527,0.9608333333333324,4.0,0
2820.0,0.0,2.98250010433286,0.9599999999999991,4.0,0
2880.0,0.0,2.982083437666193,0.9591666666666657,4.0,0
2940.0,0.0,2.9816667709995266,0.9583333333333324,4.0,0
